позиция в рейтинге,SKU,название товара,категория,количество продано,выручка,доля выручки %,накопительная доля %,ABC категория,средняя цена продажи,расчётная себестоимость (30%),валовая прибыль,маржа %
199,2221,Юбка трикотажная прямая тауп миди,skirts,16.0,56136.0,0.133,47.0464,A,3508.5,16840.8,39295.2,70.0
200,2549,Свитшот женский синий,tops_blouses,9.0,55964.0,0.1326,47.179,A,6218.22,16789.2,39174.8,70.0
201,2129,Пальто женское оверсайз шоколадное в клетку,outerwear,4.0,55690.0,0.1319,47.3109,A,13922.5,16707.0,38983.0,70.0
202,2915,Джемпер Подснежники оливковый,knitwear,9.0,55610.0,0.1317,47.4426,A,6178.89,16683.0,38927.0,70.0
203,987,Джемпер Листочки двусторонний голубой,knitwear,10.0,55300.0,0.131,47.5736,A,5530.0,16590.0,38710.0,70.0
204,2326,Джемпер женский Грибочки маренго-лосось,knitwear,10.0,55020.0,0.1303,47.7039,A,5502.0,16506.0,38514.0,70.0
205,2359,Поло трикотажное шоколадный с липовым,tops_blouses,16.0,55010.0,0.1303,47.8342,A,3438.12,16503.0,38507.0,70.0
206,2156,Юбка трикотажная прямая полынь миди,skirts,16.0,54904.0,0.1301,47.9643,A,3431.5,16471.2,38432.8,70.0
207,2078,Джемпер Чешуйки оверсайз шоколад,knitwear,9.0,54720.0,0.1296,48.0939,A,6080.0,16416.0,38304.0,70.0
208,1061,Брюки трикотаж изумруд,pants,16.0,54680.0,0.1295,48.2234,A,3417.5,16404.0,38276.0,70.0
209,777,Свитер Кострома графит,knitwear,15.0,54584.0,0.1293,48.3527,A,3638.93,16375.2,38208.8,70.0
210,2553,Брюки Спортик женские зеленый олива,pants,10.0,54468.0,0.129,48.4818,A,5446.8,16340.4,38127.6,70.0
211,857,Джемпер ромашки розовый,knitwear,11.0,54458.3,0.129,48.6108,A,4950.75,16337.49,38120.81,70.0
212,2468,Платье трикотажное ажур Колоски макси ваниль,dresses,7.0,54432.0,0.1289,48.7397,A,7776.0,16329.6,38102.4,70.0
213,2499,Платье Город синий графит,dresses,7.0,54320.0,0.1287,48.8684,A,7760.0,16296.0,38024.0,70.0
214,242,Шапка взрослая черный,accessories,47.0,54220.0,0.1284,48.9968,A,1153.62,16266.0,37954.0,70.0
215,2652,Брюки фланель широкие в клетку шоко с молочным,pants,10.0,54150.0,0.1283,49.1251,A,5415.0,16245.0,37905.0,70.0
