model_name,category,product_styles_count,combined_skus,colors_count,dominant_color,dominant_color_revenue_share_pct,qty_sold_24m,revenue_24m,revenue_share_pct,avg_realized_price_24m,estimated_cogs_24m,gross_profit_24m,margin_pct,qty_sold_12m,revenue_12m,active_months_24m,monthly_cv_pct,xyz_class,abc_class,abc_xyz_class,current_stock_qty,stock_cover_days_est_12m,stock_status,portfolio_role,recommended_action,action_note,current_sale_price_avg,cumulative_revenue_share_pct
Бомбер женский изумрудный в клетку,outerwear,1,2070,1,изумрудный,100.0,17.0,226055.0,0.5355,13297.35,67816.5,158238.5,70.0,2.0,17635.0,7,232.26,Y,A,AY,-2.0,,stockout,fashion_core,keep_winner_colors,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",14800.0,33.2747
Пальто шерсятное двубортное с поясом,outerwear,1,2173,1,тауп,100.0,11.0,223125.0,0.5285,20284.09,66937.5,156187.5,70.0,9.0,180825.0,6,235.49,Y,A,AY,0.0,,stockout,fashion_core,keep_winner_colors,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",15750.0,33.8032
Жакет прямого кроя с карманами сливочно-желтый,jackets_blazers,1,2308,1,светло-желтый,100.0,25.0,219180.0,0.5192,8767.2,65754.0,153426.0,70.0,23.0,201480.0,10,153.0,Y,A,AY,-1.0,,stockout,fashion_core,keep_winner_colors,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",9200.0,34.3224
Джемпер чешуйки двусторонний морская волна,knitwear,1,910,1,морская волна-белый,100.0,42.0,218624.0,0.5179,5205.33,65587.2,153036.8,70.0,19.0,79624.0,19,107.22,X,A,AX,7.0,134.5,overstock,repeat_core,reduce_depth_keep_model,Повторяемое ядро бизнеса: держать в наличии и защищать от out-of-stock.,4340.0,34.8403
Джемпер авангард жаккард,knitwear,5,"2626, 2637, 2726, 2727, 2747",5,маренго-слива,75.77,35.0,217630.0,0.5155,6218.0,65289.0,152341.0,70.0,35.0,217630.0,5,239.17,Y,A,AY,26.0,271.1,overstock,fashion_core,reduce_depth_keep_model,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",7200.0,35.3558
Джемпер ромашки,knitwear,5,"1119, 860, 861, 874, 926",5,жемчужно-лимонный,43.26,42.0,217220.0,0.5145,5171.9,65166.0,152054.0,70.0,0.0,0.0,8,218.88,Y,A,AY,0.0,,no_signal,fashion_core,keep_winner_colors,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",,35.8703
Пальто-жакет женский,outerwear,3,"2595, 2596, 2598",3,гусиная лапка хаки,74.23,16.0,214188.0,0.5074,13386.75,64256.4,149931.6,70.0,16.0,214188.0,6,206.16,Y,A,AY,2.0,45.6,balanced,fashion_core,keep_winner_colors,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",14800.0,36.3777
Худи женское с капюшоном,tops_blouses,5,"1178, 1179, 1180, 1184, 1291",5,коралловый,30.12,47.0,210680.0,0.4991,4482.55,63204.0,147476.0,70.0,7.0,26680.0,16,152.64,Y,A,AY,0.0,,stockout,fashion_core,keep_winner_colors,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",3704.0,36.8767
Джемпер незабудки женский шоколад с голубым,knitwear,1,1210,1,шоколадный,100.0,39.0,209540.0,0.4964,5372.82,62862.0,146678.0,70.0,14.0,71230.0,16,103.3,X,A,AX,3.0,78.2,balanced,repeat_core,protect_and_repeat,Повторяемое ядро бизнеса: держать в наличии и защищать от out-of-stock.,6600.0,37.3731
Брюки палаццо искусственный шелк,pants,3,"2206, 2207, 2208",3,шоколадный,49.63,47.0,208490.0,0.4939,4435.96,62547.0,145943.0,70.0,30.0,123440.0,11,165.78,Y,A,AY,7.0,85.2,balanced,fashion_core,keep_winner_colors,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",2500.0,37.867
Платье ариэль макси искусственный шелк,dresses,5,"2198, 2199, 2200, 2215, 2243",5,шоколадный,31.46,38.0,204824.0,0.4852,5390.11,61447.2,143376.8,70.0,21.0,99474.0,14,192.02,Y,A,AY,13.0,226.0,overstock,fashion_core,reduce_depth_keep_model,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",3500.0,38.3521
Платье трикотажное ажур колоски макси,dresses,5,"2402, 2447, 2448, 2464, 2468",5,липовый,28.87,25.0,199960.0,0.4737,7998.4,59988.0,139972.0,70.0,25.0,199960.0,9,188.93,Y,A,AY,17.0,248.2,overstock,fashion_core,reduce_depth_keep_model,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",8400.0,38.8258
Рубашка хлопок,tops_blouses,8,"2287, 2299, 2314, 2315, 2386, 666, 672, 839",8,белый,29.31,48.0,198688.0,0.4706,4139.33,59606.4,139081.6,70.0,36.0,151700.0,17,113.69,X,A,AX,6.0,60.8,balanced,repeat_core,protect_and_repeat,Повторяемое ядро бизнеса: держать в наличии и защищать от out-of-stock.,3500.0,39.2964
Тренч женский олива,outerwear,1,916,1,оливковый,100.0,18.0,194480.0,0.4607,10804.44,58344.0,136136.0,70.0,9.0,102070.0,7,170.83,Y,A,AY,0.0,,stockout,fashion_core,keep_winner_colors,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",11800.0,39.7571
Парка английская олива с принтом зебра,outerwear,1,2283,1,оливковый,100.0,18.0,193200.0,0.4576,10733.33,57960.0,135240.0,70.0,16.0,171920.0,6,215.17,Y,A,AY,0.0,,stockout,fashion_core,keep_winner_colors,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",11200.0,40.2148
Джемпер женский софи,knitwear,4,"2566, 2570, 2571, 2572",4,лимонный,40.14,32.0,185916.0,0.4404,5809.88,55774.8,130141.2,70.0,32.0,185916.0,6,198.04,Y,A,AY,9.0,102.7,balanced,fashion_core,keep_winner_colors,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",6200.0,40.6552
Свитер базовый шерсть,knitwear,4,"1015, 1072, 1073, 2020",4,липовый,49.62,50.0,185378.0,0.4391,3707.56,55613.4,129764.6,70.0,35.0,111684.0,16,151.94,Y,A,AY,6.0,62.6,balanced,fashion_core,keep_winner_colors,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",2500.0,41.0943
Кардиган leo жаккард,knitwear,4,"678, 679, 693, 772",4,лаванда-мята,43.42,34.0,184982.0,0.4382,5440.65,55494.6,129487.4,70.0,3.0,13800.0,13,147.37,X,A,AX,0.0,,stockout,repeat_core,replenish_and_scale,Повторяемое ядро бизнеса: держать в наличии и защищать от out-of-stock.,,41.5325
Лонгслив трикотажный ажур листочки,tshirts_longsleeves,4,"2441, 2443, 2450, 2471",4,ванильный,44.41,31.0,182626.0,0.4326,5891.16,54787.8,127838.2,70.0,31.0,182626.0,8,160.35,Y,A,AY,19.0,223.7,overstock,fashion_core,reduce_depth_keep_model,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",6200.0,41.9651
Джемпер мужской грибочки,knitwear,3,"2034, 2330, 2334",3,оранжевый-маренго,47.03,27.0,178860.0,0.4237,6624.44,53658.0,125202.0,70.0,20.0,129880.0,14,115.65,X,A,AX,7.0,127.8,overstock,repeat_core,reduce_depth_keep_model,Повторяемое ядро бизнеса: держать в наличии и защищать от out-of-stock.,7200.0,42.3888
Куртка стеганая женская,outerwear,2,"1117, 2101",2,светло-бежевый,68.33,28.0,178400.0,0.4226,6371.43,53520.0,124880.0,70.0,9.0,42200.0,12,115.86,X,A,AX,4.0,162.2,overstock,repeat_core,reduce_depth_keep_model,Повторяемое ядро бизнеса: держать в наличии и защищать от out-of-stock.,3500.0,42.8113
Юбка трикотажная прямая шерсть макси,skirts,8,"2132, 2143, 2187, 2194, 2197, 2244, 2248, 2686",8,бургунди-георгин,20.37,43.0,176700.0,0.4186,4109.3,53010.0,123690.0,70.0,11.0,47040.0,8,182.98,Y,A,AY,11.0,365.0,overstock,fashion_core,reduce_depth_keep_model,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",4800.0,43.2299
